"STATION","NAME","DATE","ACMH","ACSH","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WESD","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-01","   50","   60","5.37","0.00","0.0","0.0",,"79","51",,,"    1",,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-02","   40","   50","12.97","0.00","0.0","0.0",,"65","46",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-03","    0","    0","8.28","0.00","0.0","0.0",,"60","39",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-04","   10","    0","6.71","0.00","0.0","0.0",,"72","41",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-05","   60","   50","8.28","0.70","0.0","0.0",,"75","49",,,"    1",,,,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-06","   60","   80","10.51","0.41","0.0","0.0",,"51","35",,,"    1",,,,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-07","    0","    0","5.82","0.00","0.0","0.0",,"58","31",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-08","   70","   80","6.04","0.00","0.0","0.0",,"66","33",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-09","  100","  100","8.72","0.00","0.0","0.0",,"70","50",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-10","  100","   90","15.66","0.21","0.0","0.0",,"69","50",,,"    1",,"    1",,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-11","   20","   20","10.29","0.00","0.0","0.0",,"61","40",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-12","   20","   10","6.49","0.00","0.0","0.0",,"60","38",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-13","   80","  100","9.17","0.00","0.0","0.0",,"70","41",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-14","   70","   90","6.93","0.11","0.0","0.0",,"66","49",,,"    1",,,,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-15","   80","  100","3.80","0.00","0.0","0.0",,"69","42",,,"    1","    1",,,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-16","   90","   90","8.50","0.00","0.0","0.0",,"80","54",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-17","   70","   90","11.86","1.10","0.0","0.0",,"70","43",,,"    1",,"    1",,,,,,,,,"    1",,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-18","   70","   80","9.62","0.00","0.0","0.0",,"62","41",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-19","  100","  100","10.07","0.00","0.0","0.0",,"75","53",,,,,,,,,,"    1",,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-20","   90","   90","10.07","0.74","0.0","0.0",,"79","60",,,"    1",,"    1",,"    1",,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-21","   70","   90","6.26","0.61","0.0","0.0",,"77","62",,,"    1",,"    1",,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-22","   30","   30","3.80","0.00","0.0","0.0",,"86","58",,,"    1",,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-23","   60","  100","6.04","0.00","0.0","0.0",,"86","62",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-24","   70","   70","8.05","0.80","0.0","0.0",,"88","67",,,,,"    1",,,,,"    1",,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-25","   50","   60","8.50","0.00","0.0","0.0",,"85","66",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-26","   10","   10","10.07","0.00","0.0","0.0",,"85","65",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-27","   80","  100","9.84","1.65","0.0","0.0",,"81","62",,,"    1",,"    1",,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-28","   60","   70","11.18","0.60","0.0","0.0",,"71","54",,,"    1",,,,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-29","   50","   80","10.74","0.00","0.0","0.0",,"82","56",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-04-30","   80","   90","6.04","0.00","0.0","0.0",,"80","69",,,"    1",,,,,,,"    1",,,,"    1",,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-01","  100","  100","8.50","0.30","0.0","0.0",,"70","54",,,"    1",,"    1",,,,,"    1",,,,"    1",,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-02","  100","  100","9.40","0.55","0.0","0.0",,"65","55",,,"    1",,"    1",,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-03","  100","  100","10.07","0.00","0.0","0.0",,"78","64",,,"    1",,,,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-04","   70","   70","11.86","0.12","0.0","0.0",,"79","60",,,"    1",,,,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-05","   60","   80","9.84","0.00","0.0","0.0",,"64","50",,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-06","   20","   40","4.92","0.00","0.0","0.0",,"74","47",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-07","    0","    0","8.50","0.00","0.0","0.0",,"79","53",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-08","   90","  100","8.72","0.00","0.0","0.0",,"79","58",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-09","   80","   90","11.18","0.01","0.0","0.0",,"77","59",,,,,,,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-10","   20","   10","11.41","0.00","0.0","0.0",,"70","50",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-11","   90","   90","6.93","0.27","0.0","0.0",,"65","51",,,"    1",,,,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-12","   90","  100","15.21","0.30","0.0","0.0",,"71","58",,,,,"    1",,,,,,,,,"    1",,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-13","   20","   10","7.83","0.00","0.0","0.0",,"74","58",,,"    1",,,,,,,,,,,"    1",,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-14","   50","   70","7.61","0.00","0.0","0.0",,"87","55",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-15","   80","   90","12.30","0.00","0.0","0.0",,"87","71",,,"    1",,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-16","   90","  100","14.54","0.01","0.0","0.0",,"86","68",,,,,"    1",,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-17","   20","    0","9.40","0.01","0.0","0.0",,"79","61",,,,,"    1",,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-18","  100","  100","6.71","0.00","0.0","0.0",,"81","57",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-19","  100","  100","11.86","1.53","0.0","0.0",,"82","64",,,"    1",,"    1",,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-20","  100","  100","8.50","0.83","0.0","0.0",,"81","64",,,"    1",,"    1",,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-21","   80","   70","12.75","0.38","0.0","0.0",,"78","59",,,"    1",,"    1",,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-22","   80","  100","9.62","0.00","0.0","0.0",,"66","55",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-23","   30","   30","5.14","0.00","0.0","0.0",,"76","50",,,"    1",,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-24","   50","   50","6.26","0.00","0.0","0.0",,"82","57",,,"    1",,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-25","   80","   90","11.41","0.00","0.0","0.0",,"87","67",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-26","   90","   90","10.07","0.00","0.0","0.0",,"87","70",,,,,,,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-27","   90","   90","8.95","0.23","0.0","0.0",,"81","65",,,"    1",,"    1",,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-28","   50","   50","9.17","0.00","0.0","0.0",,"79","63",,,"    1",,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-29","   20","   20","6.26","0.00","0.0","0.0",,"84","61",,,"    1",,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-30","   80","  100","6.71","0.01","0.0","0.0",,"81","60",,,,,,,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-05-31","  100","  100","10.29","0.00","0.0","0.0",,"77","64",,,"    1",,,,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-01","  100","  100","9.40","0.09","0.0","0.0",,"87","67",,,"    1",,"    1",,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-02","   90","  100","13.42","0.06","0.0","0.0",,"88","74",,,,,"    1",,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-03","  100","  100","7.61","0.12","0.0","0.0",,"77","66",,,,,"    1",,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-04","   20","   20","7.61","0.00","0.0","0.0",,"76","62",,,"    1",,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-05","    0","   10","7.83","0.00","0.0","0.0",,"82","55",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-06","   50","   70","10.29","0.00","0.0","0.0",,"94","67",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-07","   10","   20","9.84","0.00","0.0","0.0",,"93","75",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-08","   40","   40","10.07","0.00","0.0","0.0",,"94","76",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-09","   60","   60","7.16","0.40","0.0","0.0",,"95","73",,,"    1",,"    1",,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-10","   70","   80","8.28","0.00","0.0","0.0",,"90","71",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-11","   20","   10","7.38","0.00","0.0","0.0",,"88","68",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-12","   10","   10","8.05","0.00","0.0","0.0",,"89","66",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-13","   20","   40","10.74","0.00","0.0","0.0",,"94","70",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-14","   20","   40","9.62","0.00","0.0","0.0",,"95","77",,,"    1",,"    1",,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-15","   40","   50","7.38","0.25","0.0","0.0",,"92","75",,,"    1",,"    1",,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-16","   40","   50","5.14","0.00","0.0","0.0",,"95","74",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-17","   60","   60","6.71","0.00","0.0","0.0",,"97","77",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-18","   30","   40","6.93","0.00","0.0","0.0",,"98","78",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-19","   40","   60","6.93","0.00","0.0","0.0",,"94","70",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-20","   40","   60","10.96","0.00","0.0","0.0",,"100","75",,,,,,,,,,"    1",,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-21","   60","   50","8.50","0.15","0.0","0.0",,"94","74",,,"    1",,"    1",,,,,"    1",,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-22","   70","   70","10.74","1.61","0.0","0.0",,"86","70",,,"    1",,"    1",,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-23","   10","   10","12.08","0.00","0.0","0.0",,"86","69",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-24","   40","   60","4.25","0.00","0.0","0.0",,"86","64",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-25","   40","   70","5.59","0.00","0.0","0.0",,"85","66",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-26","   80","   90","7.61","0.00","0.0","0.0",,"89","69",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-06-27","   20","   30","7.38","0.00","0.0","0.0",,"91","73",,,,,,,,,,,,,,,,,,,,
