STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,FRGT,FRTH,GAHT,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV20
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-01,,,,,,,,,0,,0,0,,27,22,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-02,,,,,,,,,0,,0,0,,27,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-03,,,,,,,,,0,,0,0,,31,15,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-04,,,,,,,,,0,,0,0,,37,25,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-05,,,,,,,,,0,,0,0,,29,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-06,,,,,,,,,0.08,,0,0,,34,16,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-07,,,,,,,,,0,,0,0,,34,29,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-08,,,,,,,,,0,,0,0,,29,19,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-09,,,,,,,,,0,,0,0,,41,15,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-10,,,,,,,,,0.78,,0,0,,45,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-11,,,,,,,,,0.2,,0,0,,51,45,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-12,,,,,,,,,0,,0,0,,50,36,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-13,,,,,,,,,0.44,,0,0,,60,35,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-14,,,,,,,,,0,,0,0,,60,30,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-15,,,,,,,,,0,,0,0,,43,27,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-16,,,,,,,,,0,,0,0,,50,26,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-17,,,,,,,,,0,,0,0,,51,26,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-18,,,,,,,,,0,,0,0,,26,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-19,,,,,,,,,0,,0,0,,16,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-20,,,,,,,,,0,,0,0,,29,13,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-21,,,,,,,,,0,,0,0,,29,11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-22,,,,,,,,,0.04,,0,0,,25,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-23,,,,,,,,,0.13,,3.9,4,,29,19,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1940-01-24,,,,,,,,,0,,0,3,,25,7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
